"i","lon","lat","x","y","z","gbli","land"
1,-45,-36.6011793360221,0.952079146700925,-0.952079146700925,-1,3006,TRUE
2,-42.1773121598492,-37.8961451734099,0.952079146700925,-0.86260593225674,-1,3007,TRUE
3,-39.3410550820574,-39.0874007448147,0.952079146700925,-0.780407659653944,-1,2864,TRUE
4,-36.4913642035091,-40.1781293982734,0.952079146700925,-0.704279460865044,-1,2865,TRUE
5,-33.6285118719349,-41.1714874654182,0.952079146700925,-0.633243016177569,-1,2867,TRUE
6,-30.7529082400587,-42.0705310469111,0.952079146700925,-0.566493002730344,-1,2724,TRUE
7,-27.8651004661787,-42.8781601510149,0.952079146700925,-0.503357699799294,-1,2725,TRUE
8,-24.9657700842562,-43.5970770984928,0.952079146700925,-0.443269513890864,-1,2726,TRUE
9,-22.0557284399348,-44.2297563830864,0.952079146700925,-0.385742566271121,-1,2583,TRUE
10,-19.1359101306502,-44.7784235175082,0.952079146700925,-0.330355377344334,-1,2584,TRUE
11,-16.2073644370916,-45.2450407530914,0.952079146700925,-0.276737270140414,-1,2586,TRUE
12,-13.271244788122,-45.6312979081614,0.952079146700925,-0.224557509317129,-1,2587,TRUE
13,-10.3287963597031,-45.9386068601981,0.952079146700925,-0.173516460137856,-1,2588,TRUE
14,-7.38134196775889,-46.1680985433953,0.952079146700925,-0.123338236136739,-1,2589,TRUE
15,-4.43026647231734,-46.3206215455991,0.952079146700925,-0.0737644315224493,-1,2446,TRUE
16,-1.47699996263284,-46.3967416197383,0.952079146700925,-0.0245486221089254,-1,2447,TRUE
17,1.47699996263284,-46.3967416197383,0.952079146700925,0.0245486221089254,-1,2305,TRUE
18,4.43026647231734,-46.3206215455991,0.952079146700925,0.0737644315224493,-1,2306,TRUE
19,7.38134196775889,-46.1680985433953,0.952079146700925,0.123338236136739,-1,2451,TRUE
20,10.3287963597031,-45.9386068601981,0.952079146700925,0.173516460137856,-1,2452,TRUE
21,13.271244788122,-45.6312979081614,0.952079146700925,0.224557509317129,-1,2453,TRUE
22,16.2073644370916,-45.2450407530914,0.952079146700925,0.276737270140414,-1,2454,TRUE
23,19.1359101306502,-44.7784235175082,0.952079146700925,0.330355377344334,-1,2456,TRUE
24,22.0557284399348,-44.2297563830864,0.952079146700925,0.385742566271121,-1,2457,TRUE
25,24.9657700842562,-43.5970770984928,0.952079146700925,0.443269513890864,-1,2602,TRUE
26,27.8651004661787,-42.8781601510149,0.952079146700925,0.503357699799294,-1,2603,TRUE
27,30.7529082400587,-42.0705310469111,0.952079146700925,0.566493002730344,-1,2604,TRUE
28,33.6285118719349,-41.1714874654182,0.952079146700925,0.633243016177569,-1,2749,TRUE
29,36.4913642035091,-40.1781293982734,0.952079146700925,0.704279460865044,-1,2751,TRUE
30,39.3410550820574,-39.0874007448147,0.952079146700925,0.780407659653944,-1,2752,TRUE
31,42.1773121598492,-37.8961451734099,0.952079146700925,0.86260593225674,-1,2897,TRUE
32,45,-36.6011793360221,0.952079146700925,0.952079146700925,-1,2898,TRUE
33,-47.8226878401508,-37.8961451734099,0.86260593225674,-0.952079146700925,-1,3005,TRUE
34,-45,-39.3426133488448,0.86260593225674,-0.86260593225674,-1,2862,TRUE
35,-42.1359392341303,-40.6846115450034,0.86260593225674,-0.780407659653944,-1,2863,TRUE
36,-39.2301123075668,-41.923548240832,0.86260593225674,-0.704279460865044,-1,2720,TRUE
37,-36.2825650907397,-43.0608816580479,0.86260593225674,-0.633243016177569,-1,2721,TRUE
38,-33.2938196627695,-44.0980568840552,0.86260593225674,-0.566493002730344,-1,2579,TRUE
39,-30.2649062231398,-45.0364582706496,0.86260593225674,-0.503357699799294,-1,2580,TRUE
40,-27.1973875686228,-45.877375104203,0.86260593225674,-0.443269513890864,-1,2581,TRUE
41,-24.0933738294071,-46.6219784813631,0.86260593225674,-0.385742566271121,-1,2438,TRUE
42,-20.9555252523537,-47.2713073514224,0.86260593225674,-0.330355377344334,-1,2440,TRUE
43,-17.7870411007671,-47.8262617691315,0.86260593225674,-0.276737270140414,-1,2441,TRUE
44,-14.5916332249459,-48.2876015199105,0.86260593225674,-0.224557509317129,-1,2442,TRUE
45,-11.3734835406633,-48.6559484235652,0.86260593225674,-0.173516460137856,-1,2443,TRUE
46,-8.13718550210932,-48.9317907902968,0.86260593225674,-0.123338236136739,-1,2301,TRUE
47,-4.88767061296597,-49.1154886953133,0.86260593225674,-0.0737644315224493,-1,2302,TRUE
48,-1.63012200176238,-49.2072789578869,0.86260593225674,-0.0245486221089254,-1,2303,TRUE
49,1.63012200176238,-49.2072789578869,0.86260593225674,0.0245486221089254,-1,2161,TRUE
50,4.88767061296597,-49.1154886953133,0.86260593225674,0.0737644315224493,-1,2162,TRUE
51,8.13718550210932,-48.9317907902968,0.86260593225674,0.123338236136739,-1,2163,TRUE
52,11.3734835406633,-48.6559484235652,0.86260593225674,0.173516460137856,-1,2309,TRUE
53,14.5916332249459,-48.2876015199105,0.86260593225674,0.224557509317129,-1,2310,TRUE
54,17.7870411007671,-47.8262617691315,0.86260593225674,0.276737270140414,-1,2311,TRUE
55,20.9555252523537,-47.2713073514224,0.86260593225674,0.330355377344334,-1,2312,TRUE
